parent,level,child_1,child_2,child_3,child_4,child_5,child_6,child_7,child_8,child_9,child_10,child_11,child_12,child_13,child_14,child_15,child_16,child_17,child_18,child_19,child_20,child_21,child_22
#crystals_and_gems (Rocks & Crystals),L1,#crystals (Crystals & Gems),#fossils (Fossils),#other_rocks (Other Rocks),,,,,,,,,,,,,,,,,,,
#kids_clothing (Baby & Kids),L1,,,,,,,,,,,,,,,,,,,,,,
#comics (Comics),L1,#modern_comics (Modern Comics),#vintage_comics (Vintage Comics),,,,,,,,,,,,,,,,,,,,
#sports_equipment (Sporting Goods),L1,#golf_gear (Golf),#disc_golf (Disc Golf),#pickleball (Racquet Sports),#baseball_and_softball (Baseball & Softball),#soccer_sporting_goods (Soccer),#other_sports_equipment (Other Sporting Goods),#football_sporting_goods (Football),#skateboarding (Skateboarding),,,,,,,,,,,,,,
#manga (Anime & Manga),L1,,,,,,,,,,,,,,,,,,,,,,
#and_whatnot (and Whatnot),L1,#other (Everything Else),#community (Community),,,,,,,,,,,,,,,,,,,,
#wholesale (Wholesale),L1,#case_packs_and_bundles (Case Packs & Bundles),#pallet_sales (Pallets),,,,,,,,,,,,,,,,,,,,
#food (Food & Drink),L1,#fresh_produce (Fresh Produce),#other_food_and_drink (Other Food & Drink),#supplements (Supplements),#food_drink (Candy & Snacks),#baked_goods (Baked Goods),,,,,,,,,,,,,,,,,
#knives_and_hunting (Knives & Hunting),L1,#tactical_gear (Tactical Gear),#hunting (Knives & EDC),,,,,,,,,,,,,,,,,,,,
#outdoor_gear (Outdoor Gear),L1,#hiking (Hiking),#fishing_gear (Fishing),#camping (Camping),#other_outdoor_gear (Other Outdoor Gear),#camping_and_hiking (Camping & Hiking Gear),#winter_sports (Winter Sports),,,,,,,,,,,,,,,,
#books_movies (Books & Movies),L1,#books (Books),#movies (Movies),,,,,,,,,,,,,,,,,,,,
#entertainment_cards (Entertainment Cards),L1,#tv_and_movie_cards (TV & Movie Cards),#other_entertainment_cards (Other Entertainment Cards),#disney_cards (Disney Cards),#star_wars_cards (Star Wars Cards),#marvel_cards (Marvel Cards),#garbage_pail_kids (Garbage Pail Kids),,,,,,,,,,,,,,,,
#pet_supplies (Pets),L1,#fish (Fish),#dog_and_cat (Dog & Cat),#other_pet (Other Pets),,,,,,,,,,,,,,,,,,,
